"гро́мкий","loud"
"по-друго́му","differently"
"жени́х","groom, fiancé"
"знако́мый","familiar"
"узнава́ть (узнаю́, узнаёт)/узна́ть (узна́ю, узна́ет)","to find out"
"и́скренний","sincere"
"неи́скренний","insincere"
"изменя́ть (изменя́ю, изменя́ет)/измени́ть (изменю́, изме́нишь) (кому́)","to cheat on"
"целова́ть/поцелова́ть (~целу́ю, ~целу́ет)(кого́)","to kiss"
"целова́ться/поцелова́ться (~целу́юсь, ~целу́ется) (с кем)","to kiss (reflexive)"
